match_ID, participant, champ, win, kills, assists, deaths, gold_earned, p_damage_to_champs, m_damage_to_champs, max_multi_kill, max_crit, damage_taken, no_killing_spree, creep_score, jungle_killed, cc_dealt, wards_placed, total_heal
2026610922 , 4 , Lucian , 0 , 0 , 3 , 1 , 7565 , 6298 , 211 , 0 , 353 , 11181 , 0 , 157 , 2 , 5 , 8 , 2053 , 
2026610922 , 5 , Vladimir , 0 , 4 , 4 , 6 , 8480 , 688 , 16426 , 1 , 0 , 21898 , 1 , 140 , 3 , 292 , 8 , 7553 , 
2026610922 , 6 , MissFortune , 1 , 5 , 3 , 2 , 10373 , 13919 , 5807 , 2 , 532 , 8121 , 1 , 182 , 3 , 287 , 8 , 1321 , 
2026610922 , 7 , Vi , 1 , 5 , 8 , 2 , 10363 , 6176 , 905 , 1 , 0 , 13070 , 2 , 35 , 75 , 580 , 8 , 4418 , 
2026610922 , 8 , Jax , 1 , 3 , 1 , 4 , 9835 , 5757 , 3397 , 1 , 0 , 18295 , 0 , 185 , 7 , 198 , 5 , 1273 , 
2026610922 , 9 , Malzahar , 1 , 10 , 6 , 4 , 11175 , 3440 , 20100 , 2 , 0 , 16613 , 4 , 125 , 7 , 73 , 9 , 1360 , 
2026610922 , 10 , Janna , 1 , 0 , 7 , 1 , 7029 , 880 , 1329 , 0 , 0 , 8661 , 0 , 15 , 0 , 124 , 13 , 3196 , 
2026610924 , 1 , Ezreal , 1 , 7 , 10 , 2 , 11601 , 14580 , 6945 , 1 , 528 , 16245 , 2 , 136 , 5 , 0 , 3 , 3896 , 
2026610924 , 2 , Chogath , 1 , 7 , 9 , 0 , 12507 , 1128 , 8827 , 2 , 0 , 20967 , 1 , 179 , 8 , 909 , 12 , 10054 , 
2026610924 , 3 , TahmKench , 1 , 1 , 22 , 3 , 10543 , 2049 , 9612 , 1 , 0 , 24581 , 0 , 72 , 0 , 201 , 21 , 8246 , 
2026610924 , 4 , Lux , 1 , 7 , 16 , 1 , 10409 , 555 , 15835 , 2 , 0 , 7474 , 1 , 62 , 0 , 247 , 13 , 1556 , 
2026610924 , 5 , Wukong , 1 , 14 , 8 , 3 , 15307 , 25794 , 175 , 2 , 779 , 29266 , 4 , 61 , 101 , 709 , 1 , 7101 , 
2026610924 , 6 , Warwick , 0 , 2 , 3 , 4 , 7694 , 829 , 4304 , 1 , 0 , 35216 , 1 , 35 , 48 , 270 , 6 , 16492 , 
2026610924 , 7 , Teemo , 0 , 1 , 3 , 12 , 7461 , 1420 , 14276 , 1 , 155 , 24959 , 0 , 109 , 0 , 462 , 7 , 532 , 
2026610924 , 8 , MissFortune , 0 , 0 , 2 , 5 , 7838 , 11427 , 2229 , 0 , 494 , 18103 , 0 , 145 , 0 , 248 , 9 , 3040 , 
2026610924 , 9 , Pantheon , 0 , 3 , 2 , 10 , 8095 , 12204 , 1869 , 1 , 674 , 24142 , 0 , 127 , 0 , 26 , 8 , 1344 , 
2026610924 , 10 , Malphite , 0 , 2 , 3 , 5 , 7623 , 1862 , 6393 , 1 , 0 , 18504 , 0 , 52 , 0 , 312 , 3 , 2500 , 
2026610926 , 1 , Vayne , 1 , 12 , 7 , 9 , 15587 , 18949 , 2290 , 3 , 625 , 24904 , 3 , 191 , 12 , 507 , 8 , 3872 , 
2026610926 , 2 , LeeSin , 1 , 13 , 5 , 7 , 14784 , 15939 , 4880 , 1 , 0 , 29254 , 4 , 62 , 79 , 708 , 31 , 6625 , 
2026610926 , 3 , Heimerdinger , 1 , 5 , 10 , 11 , 12343 , 1485 , 22579 , 1 , 0 , 23268 , 0 , 109 , 6 , 690 , 9 , 100 , 
2026610926 , 4 , Garen , 1 , 13 , 7 , 6 , 15426 , 16443 , 3570 , 2 , 0 , 38327 , 5 , 191 , 8 , 171 , 4 , 1491 , 
2026610926 , 5 , Nautilus , 1 , 6 , 13 , 7 , 11867 , 2905 , 10665 , 1 , 0 , 28848 , 3 , 42 , 1 , 778 , 11 , 1660 , 
2026610926 , 6 , Quinn , 0 , 15 , 16 , 11 , 14415 , 28941 , 0 , 1 , 1053 , 35891 , 3 , 140 , 2 , 6349 , 7 , 1574 , 
2026610926 , 7 , MasterYi , 0 , 11 , 9 , 8 , 13274 , 11257 , 3687 , 2 , 655 , 35527 , 3 , 59 , 73 , 3357 , 7 , 7678 , 
