matchID, participant, champ, Win, FirstBlood, firstTower, firstTowerAssist, Kills, Assists, Deaths, GoldEarned, GoldSpent, TotalDamageDealt, MagicDamageDealt, PhysicalDamageDealt, TotalDamageTaken, MinionsKilled, CrowdControl, WardsPlaced
2026610909 , 5 , Trundle , 1 , 0 , 1 , 0 , 7 , 11 , 4 , 10713 , 10125 , 84650 , 12126 , 62341 , 28013 , 25 , 640 , 9 , 
2026610909 , 6 , LeeSin , 0 , 0 , 0 , 0 , 8 , 3 , 7 , 9493 , 7875 , 63818 , 16301 , 41501 , 22677 , 42 , 287 , 10 , 
2026610909 , 7 , Darius , 0 , 0 , 0 , 0 , 0 , 1 , 10 , 6907 , 6350 , 55983 , 0 , 54889 , 23398 , 75 , 109 , 9 , 
2026610909 , 8 , Lux , 0 , 0 , 0 , 0 , 6 , 7 , 5 , 9693 , 8735 , 95027 , 80201 , 14486 , 10827 , 120 , 471 , 5 , 
2026610909 , 9 , Blitzcrank , 0 , 0 , 0 , 0 , 2 , 7 , 10 , 7853 , 7400 , 25519 , 15918 , 6622 , 22643 , 29 , 362 , 4 , 
2026610909 , 10 , Kayle , 0 , 0 , 0 , 0 , 3 , 4 , 8 , 8692 , 7850 , 83791 , 50171 , 32539 , 22367 , 130 , 82 , 4 , 
2026610910 , 1 , Garen , 0 , 0 , 0 , 0 , 5 , 1 , 5 , 9935 , 9350 , 79834 , 2927 , 75345 , 24002 , 149 , 112 , 8 , 
2026610910 , 2 , Illaoi , 0 , 0 , 0 , 0 , 0 , 4 , 7 , 6807 , 6700 , 74208 , 0 , 74208 , 21451 , 37 , 89 , 3 , 
2026610910 , 3 , Kindred , 0 , 1 , 0 , 0 , 7 , 5 , 3 , 11514 , 10825 , 112288 , 11004 , 100715 , 21678 , 181 , 132 , 12 , 
2026610910 , 4 , Varus , 0 , 0 , 0 , 0 , 3 , 5 , 7 , 9916 , 9350 , 100804 , 7942 , 92862 , 15853 , 154 , 136 , 11 , 
2026610910 , 5 , Udyr , 0 , 0 , 0 , 0 , 4 , 0 , 4 , 12108 , 10350 , 219278 , 122743 , 81591 , 25366 , 63 , 1312 , 5 , 
2026610910 , 6 , Yasuo , 1 , 0 , 0 , 0 , 11 , 1 , 6 , 12164 , 10900 , 123717 , 31208 , 92509 , 15335 , 147 , 103 , 9 , 
2026610910 , 7 , Volibear , 1 , 0 , 0 , 0 , 6 , 11 , 3 , 9895 , 8950 , 52550 , 23792 , 21546 , 29059 , 68 , 488 , 20 , 
2026610910 , 8 , Nunu , 1 , 0 , 0 , 1 , 1 , 9 , 3 , 8954 , 8275 , 86534 , 25059 , 30985 , 19501 , 40 , 1004 , 9 , 
2026610910 , 9 , Jinx , 1 , 0 , 0 , 0 , 7 , 11 , 5 , 11191 , 9600 , 95323 , 4371 , 88890 , 16489 , 176 , 226 , 2 , 
2026610910 , 10 , Nasus , 1 , 0 , 0 , 0 , 1 , 5 , 2 , 9822 , 8700 , 115309 , 15555 , 99753 , 23565 , 173 , 2165 , 9 , 
2026610911 , 1 , Diana , 0 , 0 , 0 , 0 , 8 , 9 , 5 , 12396 , 10750 , 154932 , 109286 , 32302 , 30974 , 33 , 600 , 13 , 
2026610911 , 2 , Fizz , 0 , 0 , 0 , 0 , 4 , 7 , 5 , 10645 , 9125 , 92597 , 61172 , 29986 , 20886 , 144 , 154 , 17 , 
2026610911 , 3 , Darius , 0 , 1 , 0 , 0 , 6 , 5 , 6 , 10906 , 10450 , 100243 , 300 , 97486 , 32108 , 141 , 160 , 13 , 
2026610911 , 4 , Ashe , 0 , 0 , 0 , 0 , 8 , 10 , 4 , 14057 , 13900 , 190887 , 7078 , 182349 , 21045 , 218 , 2003 , 17 , 
2026610911 , 5 , Malphite , 0 , 0 , 0 , 0 , 1 , 13 , 4 , 9994 , 9750 , 70506 , 34297 , 25559 , 22996 , 86 , 838 , 24 , 
2026610911 , 6 , Caitlyn , 1 , 0 , 0 , 0 , 5 , 9 , 7 , 13782 , 10450 , 161423 , 20013 , 141410 , 18152 , 194 , 61 , 6 , 
2026610911 , 7 , Ekko , 1 , 0 , 0 , 0 , 6 , 9 , 2 , 13962 , 11470 , 186121 , 123737 , 50438 , 26898 , 35 , 962 , 7 , 
2026610911 , 8 , Chogath , 1 , 0 , 0 , 0 , 6 , 12 , 2 , 13710 , 10910 , 158822 , 116511 , 21961 , 31361 , 199 , 544 , 18 , 
2026610911 , 9 , Volibear , 1 , 0 , 0 , 0 , 6 , 9 , 9 , 13300 , 11450 , 134299 , 64271 , 68515 , 55648 , 146 , 1042 , 11 , 
2026610911 , 10 , Morgana , 1 , 0 , 0 , 0 , 1 , 16 , 7 , 11424 , 9300 , 29978 , 20807 , 9170 , 19150 , 28 , 194 , 29 , 
2026610916 , 1 , Volibear , 0 , 0 , 0 , 0 , 4 , 12 , 10 , 11325 , 10575 , 123424 , 46911 , 62596 , 46753 , 34 , 1041 , 9 , 
2026610916 , 2 , Blitzcrank , 0 , 0 , 0 , 0 , 1 , 18 , 8 , 10008 , 9450 , 32209 , 22852 , 7173 , 28881 , 31 , 94 , 19 , 
2026610916 , 3 , Varus , 0 , 1 , 0 , 0 , 16 , 4 , 8 , 15888 , 15450 , 162908 , 24823 , 135864 , 20431 , 213 , 436 , 12 , 
2026610916 , 4 , Malzahar , 0 , 0 , 0 , 0 , 4 , 8 , 10 , 12348 , 11900 , 184638 , 127326 , 55654 , 24159 , 156 , 75 , 6 , 
2026610916 , 5 , Jax , 0 , 0 , 0 , 0 , 8 , 2 , 12 , 12477 , 12000 , 121244 , 44387 , 76857 , 32527 , 145 , 69 , 8 , 
2026610916 , 6 , Nidalee , 1 , 0 , 0 , 0 , 18 , 18 , 6 , 18102 , 18075 , 210436 , 178470 , 20848 , 29734 , 78 , 487 , 15 , 
2026610916 , 7 , KogMaw , 1 , 0 , 0 , 0 , 8 , 12 , 6 , 13877 , 12000 , 113668 , 12639 , 91428 , 17412 , 133 , 297 , 1 , 
